;canción;álbum
195;Concrete Jungle;Marley (The Original Soundtrack)
196;Crazy Baldhead - Groucho Mix;Marley (The Original Soundtrack)
197;Natty Dread;Marley (The Original Soundtrack)
198;Trenchtown Rock - Live At The Roxy Theatre;Marley (The Original Soundtrack)
199;Get Up, Stand Up;Marley (The Original Soundtrack)
200;Work;Marley (The Original Soundtrack)
201;Jammin' - Live At One Love Peace Concert;Marley (The Original Soundtrack)
202;Exodus - Kindred Spirit Dub;Marley (The Original Soundtrack)
203;No Woman, No Cry - Live At The Lyceum;Marley (The Original Soundtrack)
204;War - Live At The Rainbow;Marley (The Original Soundtrack)
205;I Shot The Sheriff - Live At The Lyceum, London/1975;Marley (The Original Soundtrack)
206;Roots, Rock, Reggae;Marley (The Original Soundtrack)
207;Three Little Birds;Marley (The Original Soundtrack)
208;Real Situation;Marley (The Original Soundtrack)
209;Could You Be Loved;Marley (The Original Soundtrack)
210;One Love;Marley (The Original Soundtrack)
211;Redemption Song;Marley (The Original Soundtrack)
212;High Tide Or Low Tide;Marley (The Original Soundtrack)
213;Greetings - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
214;Natural Mystic - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
215;Positive Vibration - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
216;Burnin' & Lootin' - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
217;Them Belly Full - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
218;The Heathen - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
219;Running Away - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
220;Crazy Baldhead - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
221;War / No More Trouble - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
222;Zimbabwe - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
223;Zion Train - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
224;No Woman No Cry - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
225;Jamming - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
226;Exodus - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
227;Redemption Song - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
228;Coming In From The Cold - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
229;Could You Be Loved - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
230;Is This Love - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
231;Work - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
232;Get Up Stand Up - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
233;Precious World - Live at the Stanley Theatre - 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
234;Marcia Greetings - Live at the Stanley Theatre - 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
235;Slave Queen - Live at the Stanley Theatre - 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
236;Steppin’ Out Of Babylon - Live at the Stanley Theatre - 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
237;That’s The Way (Jah Planned It) - Live at the Stanley Theatre - 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980
238;Greetings - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
239;Natural Mystic - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
240;Positive Vibration - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
241;Them Belly Full - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
242;Is This Love - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
243;The Heathen - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
244;War / No More Trouble - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
245;Zion Train - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
246;No Woman No Cry - Live At The Stanley Theatre, 9/23/1980;Live Forever: The Stanley Theatre, Pittsburgh, PA, September 23, 1980 (Highlights)
247;Three Little Birds - B Is For Bob Version;B Is For Bob
248;Redemption Song - B Is For Bob Mix;B Is For Bob
249;Wake Up And Live - Pt. 1;B Is For Bob
250;Bend Down Low - B Is Version;B Is For Bob
251;Lively Up Yourself;B Is For Bob
252;Jamming - B Is For Bob Version;B Is For Bob
253;Small Axe - B Is Version;B Is For Bob
254;One Love / People Get Ready;B Is For Bob
255;Satisfy My Soul - B Is For Bob Mix;B Is For Bob
256;Could You Be Loved - Edit;B Is For Bob
257;Stir It Up - B Is Version;B Is For Bob
258;High Tide Or Low Tide - B Is Mix;B Is For Bob
259;Soul Shakedown Party - Afrodisiac Soundsystem Remix;Roots, Rock, Remixed: The Complete Sessions
260;Lively up Yourself - Bombay Dub Orchestra Remix;Roots, Rock, Remixed: The Complete Sessions
261;Duppy Conqueror - Fort Knox Five Remix;Roots, Rock, Remixed: The Complete Sessions
262;Sun Is Shining - Yes King Remix;Roots, Rock, Remixed: The Complete Sessions
263;Soul Rebel - Afrodisiac Soundsystem Remix;Roots, Rock, Remixed: The Complete Sessions
264;African Herbsman - King Kooba Remix;Roots, Rock, Remixed: The Complete Sessions
